id_trabalho,traducao,keyword
1027,"The study aims to describe the profiles of students entering the University of Brasília with a view to subsidizing performance monitoring and student assistance policies. The data refer to freshmen in 2016 extracted from the database of the survey “Students Profile at the University of Brasília – Registration Stage” conducted by the Observatório da Vida Estudantil since 2012. This survey has an estimated coverage of 95% of freshmen and collection sociodemographic data, previous school trajectory, admission to UnB, and future perspectives. With the help of the Grade of Membership – GoM method, three extreme profiles were identified with the following characteristics: 1) entry by quotas, blacks or browns, low income, high school in public schools, low prestige courses; 2) entering by quotas, black or brown, intermediate income, secondary education in public school, high prestige courses, and 3) entering by the universal system, white or yellow, high income, high school in private school, high prestige courses. It is concluded that even though the University of Brasília has expanded access to low-income students through the implementation of social and racial quotas, inequalities in access to more prestigious courses persist. Furthermore, data not shown in this survey indicate that inequalities in the permanence and completion of the intended course still challenge the academic trajectory of students in a more vulnerable situation.",gom; Grade of Membership; Universidade de Brasília; desigualdade
919,"This work presents kernel-based hard clustering methods for interval data, based on adaptive distances, which are obtained as sums of squared Euclidean distances between observations and prototypes, calculated individually for each variable and for each group, through functions of Kernel. The advantage of this approach over the conventional approach of Kernel-based clusters consists in assigning weights to the variables during the clustering process, in order to differentiate their relevance for the construction of clusters and consequently obtain better results.",Grouping; Kernel Functions; adaptive distances;
1255,"Companies involved as a defendant in a high number of lawsuits are known as major litigants, including banks and telephone service providers. Given the current large number of lawsuits in progress, this research aims to help the strategy used by the plaintiff, in order to reduce the amount and time of actions. The database used originates from the Consultation of First Degree Proceedings of the Court of Justice of São Paulo and is composed of judgments, approved in 2014, in the first instance of lawsuits filed against large litigants and is composed of 12,616 observations and 12 variables, the result of the action being the response variable. Therefore, predictive models are proposed, based on the multinomial distribution and on the support vector machine (SVM) with a Gaussian kernel. Models based on the multinomial distribution are fitted by the maximum likelihood method and the evaluation of relevant features is done by the likelihood ratio test. The results of the adjustment of this model showed that the company involved, jurisdiction, type of court and damage, indications of the presence of a defendant&#39;s lawyer, discussions about credit protection agencies, presence of the word &quot;third party&quot;, discussions about the relationship of consumption and respect of free legal aid are relevant characteristics for the outcome of the action. The model achieved 53% accuracy on the test basis. The method based on SVM, on the other hand, is built by the geometric interpretation of the problem, placing the observations in a hyperplane and maximizing the subspace margins of this hyperplane that better separate the observations. For this method, all the covariates in the database were considered and an accuracy of 54% was obtained in the test base. Both approaches presented similar performances, which indicates that the problem for stock classification is due to the characteristics of the data, which have very similar covariates for different results.",nothing
1355,"The present work presents some regularity conditions in the regression model with general parameterization to guarantee the asymptotic normality of the maximum likelihood estimators. A theorem is stated and some steps for proof are suggested. In order to exemplify, we consider violating one of the conditions considering a particular model, the heteroskedastic model with error in the variables and in the equation. A brief analytical and simulation study is presented, both of which indicate that the violation of the condition compromises the theoretical result presented in the Theorem.",Regression model with general parameterization; regularity conditions; asymptotic normality
1011,"In experiments based on randomization, simple random allocations can result in very different experimental groups regarding certain covariates. Furthermore, the use of classical control procedures is only feasible for a modest number of covariates. An answer to this problem is the re-randomization procedure, which consists of repeated randomizations to ensure that the final allocation obtained is balanced. However, despite the potential advantages of realignment, the number of realignments needed to maintain the desired balance grows exponentially with the number of covariates. In this work, we propose random intentional allocation, a method based on intentional allocation (to guarantee balanced groups with high probability) extended with random perturbations (to avoid systematic biases). Numerical experiments on real and simulated data show a remarkable superiority of random allocation over reallocation, both in terms of balance between groups and in terms of power of inference.",Random Sampling Realignment Experimental Planning
1012,"Intentional allocation methods are non-probabilistic procedures for the selection and allocation of individuals, with the aim of achieving representativeness and balancing criteria. Such an approach is suitable for exploratory research or pilot studies in which rarity of individuals, ethical or cost constraints severely limit sample sizes and prevent the adoption of traditional random sampling. In previous works, we presented the random intentional allocation, an allocation method based on the optimal balance of the convariables of interest, combined with random perturbations. In this work, we extend the random allocation approach and present a case study in software evaluation. Numerical experiments show that random allocation provides well-balanced experimental groups, even in the presence of a low number of participants.",Random Allocation Intentional Allocation Experiment Planning
1080,"The maximum likelihood method and the method of moments are commonly used for Gumbel parameter
estimation.The maximum likelihood estimator cannot be expressed in closed-form. Estimates are
typically obtained by numerically maximizing the log likelihood. An alternative estimation method
which is less well-known is the probability weighted moments method. The main goal of this paper
is to compare the performances of such estimation methods. To do this, we used Monte Carlo
simulation on Gumbel distribution and evaluate comparative measures based on average estimates,
average biases and average standard errors using parametric bootstrap replications.","Estimation methods, Probability weighted moments method, Maximum likelihood method, Method of moments, Monte Carlo simulation"
1144,"This study aimed to analyze the effect of brushing and isolation on the behavior of sheep. Data were collected in an experiment with 20 animals classified as reactive or not to social isolation and evaluated in 3 experimental sessions, and in 3 different moments: before, during and after brushing. The analysis was performed using Additive Generalized Models for Location, Scale and Shape (GAMLSS). Two random effects were included: animal and animal within session. The insertion of these effects is due to the need to incorporate the correlations between the measurements in the same animal and the animal in the same session. The analysis was performed using the R software, gamlss package, and the variable analyzed was the proportion of time the animal remained with its ears raised or asymmetrical, thus being a variable restricted to the interval [0,1]. The distributions considered were the beta and its inflated version, implemented in the gamlss package. The inflated beta distribution admits values equal to 0 or 1 for the response, unlike the original distribution. The parameter associated with inflation was also modeled as a function of experimental factors in the inflated beta distribution. The results showed that the effects of session, moment and interactions between session with moment and strain with moment were significant in the mean time, while in the probability of the animal remaining in the posture all the time, the significant variables were experimental session and strain. The diagnosis of the models, based on randomized quantile residues, showed that the model with an inflated beta distribution was the most suitable for the study.","Animal behavior, proportion data, random effects, beta distribution, inflated beta distribution"
1049,"The form of land occupation in rural areas, such as crops, pastures, reforestation and other areas, can be an indication of the productivity of the land production factor and the value of agricultural production. The products that make up the value of agricultural production have different land use due to their own productive characteristic. The general objective of this work was to measure the association between the value of production of groups of agricultural products with the different uses of the rural area in the production of municipalities in the state of São Paulo. In this research, 52 agricultural products were used, grouped into five variables of production value and nine variables of area use in the production of São Paulo municipalities that had production in this sector in 2008. The multivariate statistical technique of canonical correlation was used for to measure the association between the group of variables of production value products with the group of variables of land use in agricultural activities. It was concluded that there is a strong correlation (94.3%) in the first pair of canonical variables representing the value of production and use of the area, allowing the formation of groups of municipalities at different stages of development in agricultural production. It can be seen that 61.8% of the municipalities in the state were below the average in the production and area use group and that only 4.8% were above the average for the production variables group and with values below the average in use of the area.",Grouping. Canonical Correlation. Heterogeneity.
1218,"Music is one of the most important forms of art for human beings, especially for the Brazilian people. Brazilian music is very diverse as it is influenced by different cultures such as European, Indian, African and American. This work aims to verify which are the main words that differentiate each Brazilian musical style and which genres are most similar in relation to the lyrics of their songs. For this, a database of songs, singers and styles was set up using Web Scraping and text mining techniques were used in the lyrics of these songs, such as removing stop words and stemming. The lyrics of the songs were treated and grouped by eight different musical styles, each style was considered a document. For each word in each musical genre, the measure tf-idf (frequency of the inverse-term frequency in the documents) was calculated. Based on this measure, the cosine similarity was used in order to calculate the similarity between the styles. Finally, a hierarchical cluster analysis was performed using Ward&#39;s method to group these genres. Considering this measure of similarity, the most similar styles were funk and hip hop/rap while the least similarity occurred between gospel and funk genres. Regarding the analysis of clusters, we can separate these genres into four groups: axé, samba and mpb; funk and hip hop/rap; pagode and sertanejo and a group formed only by the gospel genre.",nothing
1029,"In the climatological scenario of agriculture, a factor that directly influences the development of animals and plants is the relative air temperature. At its highest levels, it is one of the most important climatic elements for the growth, development and productivity of many crops, such as rice, soybeans and corn. Bearing in mind the importance of knowing the possible maximum temperatures, this work aimed to apply the Theory of Extreme Values (EVT) in order to provide information on the occurrence of maximum temperatures in the city of Uruguaiana - RS. The maximum temperature data were obtained from 1950 to 2016, for all months of the respective years under study, provided by the Meteorological Database for Education and Research (BDMEP) and separated into monthly maximum series. The R software was used, together with the evd and extremes packages, to estimate the parameters of the GVE and Gumbel distributions, the Kolmogorov-Smirnov adherence test, the Ljung-Box test and calculation of the maximum temperature return levels. The results show that the generalized distribution of extreme values is adequate to study the behavior of the maximum temperature in the months of January, February, April, May, June, July, September and December, and for the months of March, August, October and November , the Gumbel distribution is adequate, in the municipality of Uruguaiana-RS. The quantile-quantile charts prove this fact. From May to August, the lowest temperatures forecast for all return levels occurred, and from December to February, the highest temperatures forecast for all calculated return levels occurred.","climatology, meteorology, return level, adhesion test, Gumbel distribution"
1347,"Understanding the factors that condition the adoption of crop-livestock (ILP) and livestock-forest (IPF) integration systems can be decisive in directing strategies that enable dissemination by the agribusiness sectors in Brazil. This study aimed to evaluate the profile of producers in the state of São Paulo who adopt integration systems. The survey was carried out with the application of a questionnaire to 175 producers. The chi-square test was used to verify the existence of an association between factors and integration systems and multiple correspondence analysis to characterize the profile of adopters. Variables related to the characteristics of the rural producer (experience, profile and access to credit), the rural property (size, relief and texture of the soil), the production system (livestock production cycle), as well as access to technical information (participation in agricultural events) characterize the three groups analyzed: ILP adopters; adopters of the IPF, and non-adopters.","Integration systems, correspondence analysis."
1328,"Longitudinal data analysis are studies of characteristics of individuals or experimental units measured over time. According to Littell et al. (1997), the analysis of repeated measures data requires special attention to the covariance structure due to the sequential nature of the data. Ignoring covariance may result in incorrect conclusions in the statistical analysis of the data. The mixed linear model allows for the solution of the problem considering two steps in its realization: the covariance structure model and the analysis of time trends for treatments by estimation and comparison of means. This means describing the observations over time and explaining the correlation structure of the data, indicating the degree of variation of the observation in the specified group. The objective of this work is to adjust mixed linear models in the data of protein content contained in cow&#39;s milk, presented by Diggle, Liang, and Zeger (1994), in order to characterize changes in proteins and factors that influence these changes, in which will be emphasized in the development of the models using the Lmer library of the R statistical software and in the interpretation of the data. Therefore, the purpose of this research is to select the mixed model with the covariance structure that best fits the data and test the effects of diet.",Longitudinal data analysis; Mixed Linear Models.
1265,"The environmental theme discussed in recent years gains more notoriety as discoveries are made year after year in different areas of human knowledge. The study of ways to minimize the environmental impact of various human actions is of great collaborative importance towards sustainable development. Today we live in the information age and one of the great characteristics of our age is the immense mass of data generated, offered, transported and stored daily. And one of the great areas that generate such a volume of data is the environmental area, where scholars and professionals make data available to provide collaborative work between people around the world. Agriculture is one of the pillars of the economy of several countries and is also responsible for a large portion of the total emissions of greenhouse gases, making it an important object of study. The objective of this work is to analyze patterns of emission of greenhouse gases (greenhouse gases) from Agriculture, specifically related to energy use, and to seek relationships between these patterns and GDP (Gross Domestic Product). Among several pattern discovery techniques, the Multivariate Statistical Principal Component Analysis (ACP) technique was chosen. The Principal Component Analysis technique proved to be a useful tool in the identification of expected patterns, with three components (dimensions) being identified related to three different aspects related to total equivalent CO2 emissions by energy use, namely: transport, irrigation and electrical efficiency. A relationship of these patterns with GDP was observed, as expected.",nothing
1268,"The shift point problem initially arose in the context of quality control and before the introduction of the shift point hypothesis associated with models, researchers faced difficulties in establishing a single model for some datasets. In fact, the switching point problem has been a topic of permanent interest in the statistical literature. In particular, many authors have studied the switching point problem associated with regression models under the usual assumptions of normal and uncorrelated errors. However, in many situations, inferences under normality are inappropriate as is the assumption of uncorrelated errors. A possible approach to treating the correlation of errors is to treat them as being autoregressive. Thus, we propose to study the switching point problem associated with regression models with symmetric and autoregressive errors, contributing positively to the development in the field of statistical research.",nothing
997,"There are two main models for repairable systems: renewal process (PR) and non-homogeneous Poisson process (PPNH) that uses the Weibull distribution to study the distribution of failure times. The objective of this work was to model the failure times of pieces of sugarcane harvesters (Chopper blade) using a Weibull regression model to better predict the durability of these systems. The analysis of repairable systems was carried out through a particular case of the PPNH, known as power law, using time truncation (the collection ended after one harvest period). Given the amount of covariates capable of influencing the failure time (response variable), a regression model was used and due to the behavior of the data, the Weibull distribution was chosen. The event of interest was the breakage of the Chopper blade and the response variable was the time to failure, counted in days. The covariates are the agent causing the failure (natural wear or breakage) and the State where the unit is located (São Paulo or Paraná). The Duane graphs and the total time under test (TTT-plot) showed an indicative of a non-constant failure intensity function. Comparison of the Weibull regression model with the exponential regression model, using the likelihood ratio test, showed that the best fit occurred using the first model. From this adjustment, it was possible to describe the behavior of the system during the harvest, which is a deterioration over time. With this information, mills and Chopper blade manufacturers will be able to better predict the durability of their products.","Repairable systems, non-homogeneous Poisson process, Weibull regression"
819,"In the wide statistical literature we can find several works on linear regression using the least squares method, which was proposed by Adrien-Marie Legendre in 1805. Such method will present an adequate result under certain conditions. However, in several cases such conditions are not satisfied, such as: cases where the errors do not have a normal distribution, or have heavy tails, or we have the presence of aberrant values, the least squares regression is not satisfactory. In the latter case, even in situations where the conditions are met, we need some robust procedure that accommodates the presence of these values, or techniques that allow us to identify them. When we investigate a little more the statistical literature on the subject, we realize that the least squares estimation process for regression coefficients has an ancestor, which precedes by at least half a century the one introduced by Legendre in 1805. Such ancestor, known as Minimum Sum of Absolute Errors regression or simply L1 Regression is considered a good robust alternative even for cases where the conditions for least squares are satisfied. In this work, we will reanalyze the real estate data presented by Narula and Wellington (1977) in the light of L1 regression. We will illustrate the main inferential results: such as model interpretation, construction of confidence intervals and hypothesis testing for the parameters, analysis of measures of model goodness of fit, and we will also use diagnostic measures to highlight influential observations. Among the influence measures we will use the likelihood displacement and the conditional displacement likelihood.",L1 regression; Likelihood displacement; Measures of Influence.
1241,"At the end of 2014, the state of Paraíba presented a worrying number with regard to the Municipal Social Security Regimes (RPPS): 92.86% of them showed financial and actuarial deficits, a fact that requires investigation and solution. In view of this reality and the national scenario of debates and intended reforms in the public service social security scope, the objective is to analyze the Actuarial Result (AR) of the municipal RPPS of Paraíba, based on cross-sectional data (2014) and through Generalized Additive Models for Location, Scale and Form (GAMLSS). Among the main results, we have that: the actuarial result has asymmetric and continuous distribution, with negative mean and median and large standard deviation; the T Family distribution (μ,σ,ν), according to the values indicated by the information criteria, provided the best adjustment for the actuarial result variable; the final model, which showed excellent goodness of fit, indicates a significant effect of the covariates Actuarial Balance (small and negative effect), Financial Balance (small and positive effect) and Total Retirees and Pensioners (large and negative effect). Regarding the limitations and suggestions, the need to continue this research is highlighted, considering the quality of management, the temporal effect (that is, the use of panel data) and segregation, which are fundamental for achieving even more results. robustness and consequent contributions.","Paraíba municipal RPPS. Actuarial Result. Generalized Additive Models for Location, Scale and Shape."
936,"Several elements influence the life expectancy of a country&#39;s population, such as environmental sanitation services, food, public safety, environmental protection, health services, education, among others. Thus, the increase in life expectancy is directly linked to the improvement of the population&#39;s living conditions and the Municipal Human Development Index (IDHM) is an important indicator for measuring these aspects. The objective of this work is to spatially describe this indicator (2010) for the Brazilian state of Tocantins and, in addition, to study its possible relationships with some characteristic variables, such as percentage of total employed persons, expected years of study, among others. For this, spatial statistical techniques such as Moran&#39;s Index and spatial regression models were used.","IDHM, Expectativa de Vida, Regressão Espacial."
1093,"Using data from the RAIS (Annual Report of Socioeconomic Information), from 2010 to 2015, an exploratory analysis was performed on the data for the State of Bahia. The RAIS databases are composed of a little more than twenty variables, but after the initial analysis, only six of them were considered useful for further research. The absolute number of companies in the state of Bahia has grown over the years, but on the other hand, the number of companies that are active has decreased. Among Bahian companies, we can highlight companies that belong to the trade and services sector, as they are the majority in the years analyzed. It can also be highlighted that, in 2013, commercial companies were surpassed in absolute number by service companies. To continue the work, the databases will be separated by mesoregions and the regression analysis will be tested. In addition, other data analysis techniques will be used, such as cluster analysis.","Bahia, companies, activity"
1308,"In this work, the techniques of multivariate analysis, factor analysis and cluster analysis were used to synthesize the information, and facilitate the understanding of the temporal and spatial variability of precipitation, in the municipalities of the State of Sergipe in Brazil. The months from March to October are the highest levels of precipitation, and the different groups formed are concordant municipalities in the coastal, agreste and sertão regions of the state.","precipitation, factor analysis, cluster analysis"
1018,"It was descriptively studied the temporal evolution (period of 10 years) of the maximum, average and minimum daily temperatures, considering two chosen months: January (summer) and July (winter). Data are from the Climatological Station of CEAPLA/IGCE/UNESP. The objective was to carry out an exploratory analysis of the data, looking for possible temporal trends, as well as comparing the two months. No trend was found over time, and it was concluded that, in general, temperature asymmetries are negative. The values of the coefficients of variation were practically the same, being slightly higher in July. In relation to minimum temperatures, the value found in July was much higher than the others.","Temperatura, Estatística Descritiva, Séries Temporais."
1005,"Economic data published on municipal agricultural production of bananas in the state of São Paulo in 2008 (ten years before the start of the current 2017 Agricultural Census) were analyzed using geostatistics in order to support the development of technical and political guidelines with the objective to guide the development of the banana production system that is the economic base of the region with less economic and social development in the state of São Paulo. The results showed that the region of Registro had the highest data on area destined to harvest, harvested area, quantity produced and commercial value. The highest average yield data obtained were concentrated in the regions of Sorocaba and Campinas. The largest data on average price paid to producers were concentrated in the region of Sorocaba, Presidente Prudente and São José do Rio Preto. These differences indicated the need for studies in the area of economics and commercialization in order to characterize in detail the differences in the productive systems of these regions.",geoestatística agricultura banana
1314,"Multivariate Profile Analysis (MPA) is an excellent way to analyze data measured in time, but also in space, aiming to test hypotheses (parallelism, coincidence and horizontality) about the average response profiles of the different treatments and compare them each other. In the case of this project, the Multivariate Profile Analysis methodology was used to analyze a data set of repeated measures over time from an experiment with different cacao progenies (Theobroma cacao) and their resistance/susceptibility to known disease as “Ceratocystis wilt”, caused by the pathogen Ceratocystis cacaofunesta. Thus, this experiment evaluated the average profiles described over time by these progenies in relation to the variable percentage of dead seedlings (%PM). From the results obtained, it was observed that, for the variable under study, the parallelism hypothesis was not rejected, so that the profiles are parallel to each other, implying that there is no interaction effect between the treatment and time factors. However, the coincidence and horizontality hypotheses were both rejected, so that the profiles are not coincident and horizontal, implying that there is no effect of the treatment factor and the time factor, respectively. Contrasts were also constructed to compare the average profiles two by two. Thus, it was observed that the average profile of the CCN51 progeny had the highest values of percentage of dead seedlings (%PM) over time in this experiment, which shows its greater susceptibility to the disease of &quot;Ceratocystis wilt&quot; . As for the average profile of the FCB01 progeny, the lowest %PM values were observed over time in this experiment, which indicates its greater resistance to the disease.",Multivariate Profile Analysis; repeated measures data; Theobroma cacao; Ceratocystis cacao disastrous
969,"Eucalyptus leaf bacteriosis is an important disease in forest nurseries, characterized by leaf lesions in seedlings. This disease can affect more than 3 million seedlings per year, resulting in estimated losses of approximately 2.4 million reais per year. Given this situation, this work aims to detect bacterial infection in eucalyptus seedlings in nurseries, before the appearance of visible symptoms on the leaves, thus allowing the researcher to have greater control in combating the infestation. For this purpose, multivariate techniques of principal components and Fisher&#39;s discriminant linear function were applied, as well as the non-decimated discrete wavelet transform. Principal component and Fisher&#39;s linear discriminant function techniques were useful to identify bacteriosis in clones of Eucalyptus spp. with a 75% hit rate. The non-decimated discrete wavelet transforms combined with generalized linear models suggest that to diagnose bacteriosis, we can work with leaf reflectances with wavelengths greater than 1126 nm. The infrared band in which Spearman&#39;s correlation between leaf reflectance and leaf bacteriosis severity was significant occurred between wavelengths from 1403.15 nm to 1529.04 nm. A multiple linear regression model of covariate selection (stepwise) was fitted, which estimates the severity of bacteriosis from wavelengths (nm) in the range of 1,194,016 to 1,644,467 nm.","componentes principais, função linear discriminante, transformada wavelet, Xantomonas."
953,"There is an increase in the quantity and replacement of the quality of food consumed due to the increase in income in a given population (Cirera and Masset, 2010), which in economics is called Bennett&#39;s Law (Bennett, 1954 in apud Godfray, 2011). In general, populations with lower income generally have a predominant dietary pattern for starch-rich foods, while populations with higher income generally have greater variability and caloric content, with a predominance of foods of animal origin and foods from vegetable processing and fruits (Godfray et al., 2010). Such behavior generally occurs worldwide, but may have some specific variations depending on the location. It may be beneficial at first, for example, in reducing levels of malnutrition, however, it may present problems if not controlled in the long term by the science of nutrition (Godfray et al., 2010). For example, it generates greater use of resources, making it less sustainable from an environmental point of view (Godfray, 2011), and can also be harmful to health (FAO, 2017). In this context, analyzes are needed to try to understand the patterns of food availability that are more related to income in a population context, and for this, statistical techniques such as multivariate analyzes have been increasingly applied in the literature (Shills, 2016). This work aims to apply the multivariate statistical technique of Principal Component Analysis to search for patterns in food group availability data taking into account 171 countries from the FAO (Food and Agriculture Organization) data repositories, in order to identify at least one world-wide food availability pattern that can be related to GDP (measure of income). With the multivariate statistical method applied, the expected pattern was obtained, with behavior similar to that observed in Bennett&#39;s Law and in FAO (2017).",Availability of food; Nutrition; Principal component analysis; FAO; Bennett&#39;s Law
